Time	BL_Ankle-Ext Ia	BL_Ankle-Ext Ib	BL_Ankle-Flx II	BL_Ankle-Flx Ia	BL_Ankle-Flx Ib	BL_Hip-Ext II	BL_Hip-Flx II	BL_Hip-Flx Ia	
0.41808	-0.0598674	-0.05829226	-0.05542089	-0.05891563	-0.06088725	-0.04	-0.05440355	-0.06179497	
0.42016	-0.0598728	-0.0582978	-0.05541829	-0.05894182	-0.06088636	-0.04	-0.05440311	-0.06179703	
0.42224	-0.05987798	-0.05830146	-0.05541657	-0.05896695	-0.06088577	-0.04	-0.05440282	-0.06179904	
0.42432	-0.05988296	-0.05830387	-0.05541544	-0.05899104	-0.06088538	-0.04	-0.05440263	-0.06180102	
0.4264	-0.05988773	-0.05830546	-0.05541469	-0.05901416	-0.06088512	-0.04	-0.05440251	-0.06180295	
0.42848	-0.05988297	-0.05825956	-0.05544168	-0.05905433	-0.06089168	-0.04	-0.05439774	-0.06180515	
0.43056	-0.05987842	-0.05822927	-0.05545948	-0.05909286	-0.06089599	-0.04	-0.05439458	-0.0618073	
0.43264	-0.05988337	-0.05821231	-0.05543914	-0.0590822	-0.06089107	-0.04	-0.05437838	-0.06179631	
0.43472	-0.05987933	-0.05821802	-0.05543032	-0.0591196	-0.06088915	-0.04	-0.05438651	-0.06180051	
0.4368	-0.05984694	-0.05820654	-0.05545199	-0.05915547	-0.06089315	-0.04	-0.05437305	-0.06177474	
0.43888	-0.05985318	-0.05818963	-0.05546628	-0.05918989	-0.06089532	-0.04	-0.05436886	-0.06177938	
0.44096	-0.05985916	-0.05817848	-0.05547571	-0.0592229	-0.06089675	-0.04	-0.0543661	-0.06178392	
0.44304	-0.05984951	-0.05817217	-0.05548645	-0.05925456	-0.0608979	-0.04	-0.05436428	-0.06178837	
0.44512	-0.05984025	-0.05816801	-0.05549354	-0.05928493	-0.06089866	-0.04	-0.05436308	-0.06179272	
0.4472	-0.05984676	-0.05819707	-0.0554616	-0.05917822	-0.06089311	-0.04	-0.05436229	-0.06179699	
0.44928	-0.05985301	-0.05821624	-0.05544054	-0.05907585	-0.06088945	-0.04	-0.05436176	-0.06180117	
0.45136	-0.059859	-0.05822889	-0.05542664	-0.05897766	-0.06088703	-0.04	-0.05436142	-0.06180526	
0.45344	-0.05982308	-0.05822361	-0.05543582	-0.05901931	-0.06088836	-0.04	-0.05435175	-0.0617843	
0.45552	-0.05978864	-0.05822013	-0.05544188	-0.05905927	-0.06088923	-0.04	-0.05434537	-0.06176377	
0.4576	-0.05975559	-0.05821783	-0.05544587	-0.05909761	-0.06088981	-0.04	-0.05434117	-0.06174366	
0.45968	-0.05976555	-0.0582198	-0.05543477	-0.05908339	-0.06088805	-0.04	-0.05434783	-0.06174894	
0.46176	-0.05977511	-0.05822109	-0.05542744	-0.05906976	-0.06088689	-0.04	-0.05435223	-0.0617541	
0.46384	-0.05975287	-0.0582166	-0.05543635	-0.05910766	-0.06088877	-0.04	-0.05434325	-0.06172775	
0.46592	-0.05973154	-0.05821364	-0.05544223	-0.05914402	-0.06089002	-0.04	-0.05433733	-0.06170195	
